epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.275,1.52463,3.59216,1.29176,0.0197,0.16405,0.11825,0.08848,1.30115,4.23464,1.156,0.00029561,0.00029561,0.00029561
2,254.835,1.44596,2.38942,1.19999,0.67889,0.18115,0.21763,0.12821,1.42952,3.60701,1.18954,0.000480085,0.000480085,0.000480085
3,390.64,1.3535,2.08346,1.14298,0.80815,0.22444,0.26375,0.15879,1.45337,2.63527,1.25007,0.000544572,0.000544572,0.000544572
4,514.754,1.31898,1.94144,1.13788,0.60645,0.34033,0.33768,0.22177,1.34364,2.22389,1.14629,0.000369054,0.000369054,0.000369054
5,703.629,1.30633,1.84468,1.1165,0.42848,0.38742,0.33795,0.24407,1.24399,1.99487,1.06134,0.000189072,0.000189072,0.000189072
